stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
"de:08125:4911:0:2","","Ruchsen","49.3186991","9.3790134","","","","0",""
"de:08125:4999:0:1","","Hölzern Wendeplatte","49.177974","9.352576","","","","0",""
"de:08125:500:0:>Nord","","Neckarsulm, Wilhelmstraße","49.1869814","9.2245211","","","","0",""
"de:08125:500:0:>Sued","","Neckarsulm, Wilhelmstraße","49.1873866","9.2243864","","","","0",""
"de:08125:503:0:1","","Neckarsulm, Rötel","49.1758482","9.2211075","","","","0",""
"de:08125:503:0:2","","Neckarsulm, Rötel","49.1754723","9.2211884","","","","0",""
"de:08125:504:0:>Mitt","","Neckarsulm, ZOB/Ballei Bstg B","49.1938621","9.2273059","","0","de:08125:504_Parent","0","B"
"de:08125:504:0:>Nord","","Neckarsulm, ZOB/Ballei Bstg A","49.1939091","9.2272251","","0","de:08125:504_Parent","0","A"
"de:08125:504:0:1","","Neckarsulm, ZOB/Ballei","49.1939619","9.2273598","","0","de:08125:504_Parent","0",""
"de:08125:504:0:2","","Neckarsulm, ZOB/Ballei","49.1939619","9.2273598","","0","de:08125:504_Parent","0",""
"de:08125:504:0:3","","Neckarsulm, ZOB/Ballei Bstg C","49.1939972","9.2273508","","0","de:08125:504_Parent","0","C"
"de:08125:504:0:ohne","","Neckarsulm, ZOB/Ballei Bstg D","49.1939561","9.2274406","","0","de:08125:504_Parent","0","D"
"de:08125:504_Parent","","Neckarsulm, ZOB/Ballei","49.1939619","9.2273598","","1","","",""
"de:08125:505:1:1","","Neckarsulm, Viktorshöhe B27","49.2000786","9.2329743","","","","0",""
"de:08125:505:2:2","","Neckarsulm, Viktorshöhe B27","49.2000375","9.2333156","","","","0",""
"de:08125:506:0:0","","Neckarsulm, Einkaufszentrum","49.1837932","9.2244493","","","","0",""
"de:08125:506:0:1","","Neckarsulm, Einkaufszentrum","49.183482","9.2247188","","","","0",""
"de:08125:507:0:1","","Lauffen (N) Stuttgarter Straße","49.0713048","9.1564378","","","","0",""
"de:08125:507:0:2","","Lauffen (N) Stuttgarter Straße","49.0714048","9.1563839","","","","0",""
"de:08125:50701:0:1","","Stetten Forchenwaldhöfe","49.1179923","8.9941212","","","","0",""
"de:08125:50701:0:2","","Stetten Forchenwaldhöfe","49.1179923","8.9941212","","","","0",""
"de:08125:510:0:2","","Lauffen (N) Realschule","49.072111","9.1407622","","","","0",""
"de:08125:511","","Neckarsulm, Nord/AUDI Tor 6","49.2020273","9.2271083","","","","0",""
"de:08125:511:0:1","","Neckarsulm, Nord/AUDI Tor 6","49.2020273","9.2271891","","","","0",""
"de:08125:5125:0:1","","Möckmühl Habichtshöfe","49.2891659","9.3642451","","","","0",""
