route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-4-34","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-6-35","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-8-36","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-7-37","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-10-H-0-Special#13-10-38","hnv-31-647-1-1-10-H-0","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-11-H-1-Special#13-18-39","hnv-31-647-1-1-11-H-1","Ellhofen","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-4-H-2-Special#13-2-40","hnv-31-647-1-1-4-H-2","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-4-H-2-Special#13-3-41","hnv-31-647-1-1-4-H-2","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-4-H-2-Special#13-9-42","hnv-31-647-1-1-4-H-2","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-4-H-2-Special#13-5-43","hnv-31-647-1-1-4-H-2","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-3-H-3-Special#13-20-44","hnv-31-647-1-1-3-H-3","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-3-H-3-Special#13-21-45","hnv-31-647-1-1-3-H-3","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-3-H-3-Special#13-22-46","hnv-31-647-1-1-3-H-3","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-647-1","Special#13","hnv-31-647-1-1-3-H-3-Special#13-23-47","hnv-31-647-1-1-3-H-3","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-19-R-0-Special#346-20-1","hnv-31-648-1-4-19-R-0","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-19-R-0-Special#346-26-2","hnv-31-648-1-4-19-R-0","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-40-R-1-Special#346-12-3","hnv-31-648-1-4-40-R-1","Happenbach","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-41-R-2-Special#14-13-4","hnv-31-648-1-1-41-R-2","Schozach Kirche","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-16-R-3-Special#14-17-5","hnv-31-648-1-1-16-R-3","Ilsfeld Schule","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-36-R-4-Special#14-22-6","hnv-31-648-1-1-36-R-4","Untergruppenbach Kirche","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-35-R-5-Special#14-23-7","hnv-31-648-1-1-35-R-5","Donnbronn Kurze Straße","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-35-R-5-Special#14-27-8","hnv-31-648-1-1-35-R-5","Donnbronn Kurze Straße","","1","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-29-R-6-Special#346-32-9","hnv-31-648-1-4-29-R-6","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-30-R-7-Special#14-33-10","hnv-31-648-1-1-30-R-7","Untergruppenbach Kirche","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-31-R-8-Special#14-34-11","hnv-31-648-1-1-31-R-8","Donnbronn Kurze Straße","","1","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-31-R-8-Special#14-38-12","hnv-31-648-1-1-31-R-8","Donnbronn Kurze Straße","","1","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-32-R-9-Special#346-35-13","hnv-31-648-1-4-32-R-9","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#346","hnv-31-648-1-4-32-R-9-Special#346-37-14","hnv-31-648-1-4-32-R-9","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-44-R-10-Special#327-20-15","hnv-31-648-1-5-44-R-10","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-44-R-10-Special#327-26-16","hnv-31-648-1-5-44-R-10","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-40-R-11-Special#327-12-17","hnv-31-648-1-5-40-R-11","Happenbach","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-29-R-12-Special#327-32-18","hnv-31-648-1-5-29-R-12","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-19-R-13-Special#327-35-19","hnv-31-648-1-5-19-R-13","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-19-R-13-Special#327-37-20","hnv-31-648-1-5-19-R-13","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-43-R-15-Special#18-20-21","hnv-31-648-1-1-43-R-15","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-43-R-15-Special#18-26-22","hnv-31-648-1-1-43-R-15","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-40-R-16-Special#18-12-23","hnv-31-648-1-1-40-R-16","Happenbach","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-29-R-18-Special#18-32-24","hnv-31-648-1-1-29-R-18","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-19-R-20-Special#18-35-25","hnv-31-648-1-1-19-R-20","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#18","hnv-31-648-1-1-19-R-20-Special#18-37-26","hnv-31-648-1-1-19-R-20","Oberheinriet Wendeplatte","","1","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-2-H-0-Special#347-2-27","hnv-31-648-1-1-2-H-0","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-3-H-1-Special#347-3-28","hnv-31-648-1-1-3-H-1","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-37-H-2-Special#347-4-29","hnv-31-648-1-1-37-H-2","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-7-H-3-Special#347-5-30","hnv-31-648-1-1-7-H-3","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-6-H-4-Special#14-6-31","hnv-31-648-1-1-6-H-4","Untergruppenb. Alter Friedhof","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-4-H-5-Special#347-10-32","hnv-31-648-1-1-4-H-5","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-4-H-5-Special#347-7-33","hnv-31-648-1-1-4-H-5","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-34-H-6-Special#347-8-34","hnv-31-648-1-1-34-H-6","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-8-H-7-Special#14-39-35","hnv-31-648-1-1-8-H-7","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#14","hnv-31-648-1-1-8-H-7-Special#14-9-36","hnv-31-648-1-1-8-H-7","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-39-H-8-Special#347-11-37","hnv-31-648-1-1-39-H-8","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#347","hnv-31-648-1-1-42-H-9-Special#347-14-38","hnv-31-648-1-1-42-H-9","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-2-H-10-Special#327-2-39","hnv-31-648-1-5-2-H-10","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-3-H-11-Special#327-3-40","hnv-31-648-1-5-3-H-11","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-7-H-12-Special#327-5-41","hnv-31-648-1-5-7-H-12","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-4-H-13-Special#327-10-42","hnv-31-648-1-5-4-H-13","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-4-H-13-Special#327-7-43","hnv-31-648-1-5-4-H-13","Ilsfeld Schule","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-34-H-14-Special#327-8-44","hnv-31-648-1-5-34-H-14","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-39-H-15-Special#327-11-45","hnv-31-648-1-5-39-H-15","Beilstein Schulzentrum","","0","","2"
"hnv-31-648-1","Special#327","hnv-31-648-1-5-42-H-16-Special#327-14-46","hnv-31-648-1-5-42-H-16","Ilsfeld Schule","","0","","2"
"hnv-31-648H-1","Special#19","hnv-31-648H-1-1-18-H-0-Special#19-1-1","hnv-31-648H-1-1-18-H-0","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648H-1","Special#200","hnv-31-648H-1-1-18-H-0-Special#200-2-2","hnv-31-648H-1-1-18-H-0","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648H-1","Special#195","hnv-31-648H-1-1-18-H-0-Special#195-6-3","hnv-31-648H-1-1-18-H-0","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648H-1","Special#289","hnv-31-648H-1-2-2-H-1-Special#289-3-4","hnv-31-648H-1-2-2-H-1","Ilsfeld Kelter","","0","","2"
"hnv-31-648H-1","Special#289","hnv-31-648H-1-2-1-H-2-Special#289-5-5","hnv-31-648H-1-2-1-H-2","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648H-1","Special#299","hnv-31-648H-1-1-2-H-3-Special#299-3-6","hnv-31-648H-1-1-2-H-3","Ilsfeld Kelter","","0","","2"
"hnv-31-648H-1","Special#299","hnv-31-648H-1-1-1-H-4-Special#299-5-7","hnv-31-648H-1-1-1-H-4","Oberheinriet Wendeplatte","","0","","2"
"hnv-31-648H-1","Special#289","hnv-31-648H-1-2-17-R-0-Special#289-4-8","hnv-31-648H-1-2-17-R-0","Heilbronn Hbf/Willy-Brandt-Pl.","","1","","2"
"hnv-31-648H-1","Special#289","hnv-31-648H-1-2-34-R-1-Special#289-8-9","hnv-31-648H-1-2-34-R-1","Heilbronn Hbf/Willy-Brandt-Pl.","","1","","2"
"hnv-31-648H-1","Special#289","hnv-31-648H-1-2-34-R-1-Special#289-7-10","hnv-31-648H-1-2-34-R-1","Heilbronn Hbf/Willy-Brandt-Pl.","","1","","2"
"hnv-31-648H-1","Special#19","hnv-31-648H-1-1-20-R-2-Special#19-17-11","hnv-31-648H-1-1-20-R-2","Obergruppenbach","","1","","2"
"hnv-31-648H-1","Special#200","hnv-31-648H-1-1-20-R-2-Special#200-18-12","hnv-31-648H-1-1-20-R-2","Obergruppenbach","","1","","2"
"hnv-31-648H-1","Special#195","hnv-31-648H-1-1-20-R-2-Special#195-19-13","hnv-31-648H-1-1-20-R-2","Obergruppenbach","","1","","2"
"hnv-31-648H-1","Special#299","hnv-31-648H-1-1-34-R-3-Special#299-8-14","hnv-31-648H-1-1-34-R-3","Heilbronn Neckarturm","","1","","2"
